city,energycode_2015,energycode_2018
Abilene,2012,2012
Addison,2012,2012
Alamo,2012,2015
Alice,2003,NA
Allen,2009,2015
Alton,2012,2015
Alvin,2009,2015
Amarillo,2012,2015
Andrews,2015,NA
Angleton,2001,2012
Arlington,2009,2015
Athens,2012,NA
Austin,2012,2015
Azle,2012,2015
Balch Springs,2003,2015
Bay City,2009,NA
Baytown,2009,2015
Beaumont,2009,2015
Bedford,2009,2015
Bee Cave,2006,NA
Beeville,2009,NA
Bellaire,2012,2012
Belton,2009,NA
Benbrook,2012,2018
Big Spring,2012,NA
Boerne,2006,NA
Bonham,2012,NA
Borger,2012,2012
Brenham,2012,NA
Brownsville,2009,NA
Brownwood,2009,NA
Bryan,2009,2015
Buda,2009,2015
Burkburnett,2000,2015
Burleson,2009,2012
Canyon,2012,NA
Carrollton,2012,2018
Cedar Hill,2009,2015
Cedar Park,2012,2015
Chandller,2009,NA
Cibolo,2012,2015
Cleburne,2009,2015
Clute,2009,2015
College Station,2012,2018
Colleyville,2009,2015
Conroe,2009,2015
Converse,2009,2015
Coppell,2012,2015
Copperas Cove,2009,2015
Corinth,2009,2018
Corpus Christi,2009,2015
Corsicana,2009,NA
Crowley,2006,2012
Dallas,2009,2015
Deer Park,2012,2012
Del Rio,2006,2015
Denison,2012,NA
Denton,2012,2015
DeSoto,2012,2012
Dickinson,2009,2015
Donna,2012,2012*
Dumas,2012,2012
Duncanville,2009,2015
Eagle Pass,2012,2015
Edinburg,2012,NA
El Campo,2009,NA
El Paso,2009,2015
Ennis,2009,NA
Euless,2009,2015
Farmers Branch,2012,2015
Flower Mound,2012,2015
Forest Hill,2006,2015
Forney,2009,2015
Fort Worth,2009,2015
Fredricksburg,2009,NA
Freeport,2009,2015
Friendswood,2009,2012
Frisco,2012,2015
Gainesville,2009,2015
Galena Park,2009,NA
Galveston,2009,2018
Garland,2009,2015
Gatesville,2012,2012
Georgetown,2012,2015
Glenn Heights,2009,2015
Granbury,2012,2015
Grand Prairie,2009,2015
Grapevine,2009,2015
Greenville,2006,NA
Groves,2001,NA
Haltom City,2012,2015
Harker Heights,2009,2015
Harlingen,2012,2012
Henderson,2012,NA
Hereford,2012,2015
Hewitt,2012,2015
Hidalgo,2006,NA
Highland Village,2009,2015
Horizon City,2003,NA
Houston,2012,2015
Humble,2012,2018
Huntsville,2009,2015
Hurst,2009,2015
Hutto,2009,NA
Irving,2009,2015
Jacinto City,1988,NA
Jacksonville,2006,NA
Jersey Village,2012,2012
Katy,2012,2015
Keller,2009,2015
Kerrville,2006,2015
Kilgore,2006,NA
Killeen,2009,2018
Kingsville,2009,NA
Kyle,2009,2015
La Marque City,2003,2012
La Porte,2012,2012
Lago Vista,2006,2012
Lake Jackson,2012,2015
Lakeway,2009,2015
Lancaster,2012,2015
Laredo,2009,2015
League City,2009,2015
Leander,2009,2015
Leon Valley,2015,2015
Levelland,2009,NA
Lewisville,2012,2015
Little Elm,2012,2015
Live Oak,2015,2018
Lockhart,2009,2015
Longview,2012,2015
Lubbock,2009,NA
Lufkin,2006,NA
Lumberton,2009,NA
Mansfield,2009,2015
Marshall,2009,NA
McAllen,2012,NA
McKinney,2012,2015
Mercedes,2012,2015
Mesquite,2009,2015
Midland,2012,2015
Midlothian,2009,2015
Mineral Wells,2012,NA
Mission,2009,NA
Missouri City,2015,2015
Mount Pleasant,2012,2012
Murphy,2006,2015
Nacogdoches,2009,2015
Nederland,2000,2012
New Braunfels,2006,2018
North Richland Hills,2012,2012
Odessa,2006,2018
Orange,2003,NA
Palestine,2012,NA
Pampa,2003,NA
Paris,2006,2015
Pasadena,2006,2015
Pearland,2009,2015
Pflugerville,2012,2015
Pharr,2012,2015
Plainview,2009,NA
Plano,2012,2018
Port Arthur,2012,2015
Port Lavaca,2012,NA
Port Neches,2000,NA
Portland,2006,NA
Raymondville,SBC1973,NA
Red Oak,2012,2012
Richardson,2012,2015
Richmond,2006,2012
Rio Grande City,2006,NA
Robinson,2012,2012
Robstown,SBC,NA
Rockwall,2009,2015
Rollingwood,2012,2015
Rosenberg,2009,2015
Round Rock,2012,2015
Rowlett,2012,2015
Sachse,2009,2015
Saginaw,2012,2015
San Angelo,2009,NA
San Antonio,2015,2018
San Benito,2006,NA
San Juan,2009,2012
San Marcos,2009,2015
Santa Fe,2012,2015
Schertz,2009,2015
Seabrook,2009,2015
Seagoville,2012,2012
Seguin,2009,2015
Sherman,2009,NA
Snyder,2003,NA
Socorro,2009,NA
South Houston,2006,2015
Southlake,2012,2018
Stafford,2009,2015
Stephenville,2009,NA
Sugar Land,2009,2015
Sulphur Springs,2012,NA
Sweetwater,2012,2012
Taylor,2009,NA
Temple,2009,NA
Terrell,2009,2015
Texarkana,2009,NA
Texas City,2006,2015
The Colony,2012,2012
Tomball,2012,2015
Tyler,2009,2015
Universal City,2012,2015
University Park,2009,2015
Uvalde,2015,2015
Vernon,2009,NA
Victoria,2009,2015
Vidor,2000,NA
Waco,2012,2015
Watauga,2000,2012
Waxahachie,2000,2012
Weatherford,2009,NA
Webster,2012,2015
Weslaco,2012,2015
West,2012,NA
West University Place,2012,2018
White Settlement,2012,2012
Wichita Falls,2009,2015
Willow Park,2012,2012
Wylie,2009,2015
Alamo Heights,NA,2015
Aledo,NA,2015
Alvarado,NA,2012
Anahuac,NA,2012
Aransas Pass,NA,2012
Argyle,NA,2012
Aubrey,NA,2015
Bastrop,NA,2015
Bellville,NA,2012
Blue Ridge,NA,2012
Boyd,NA,2015
Bridgeport,NA,2012
Bulverde,NA,2015
Bunker Hill Village,NA,2015
Caddo Mills,NA,2012
Castroville,NA,2012
Celina,NA,2015
Center,NA,2012
China Grove,NA,2018
Clear Lake Shores,NA,2015
Cleveland,NA,2015
Cockrell Hill,NA,2012
Combine,NA,2015
Commerce,NA,2012
Crandall,NA,2012
Daingerfield,NA,2015
Dalworthington Gardens,NA,2015
Dayton,NA,2012
Decatur,NA,2015
Dripping Springs,NA,2012
Elgin,NA,2012
Elmendorf,NA,2015
Fair Oaks Ranch,NA,2015
Fairview,NA,2012
Farmersville,NA,2015
Fate,NA,2015
Ferris,NA,2015
Floresville,NA,2015
Fulshear,NA,2015
Grandview,NA,2015
Gun Barrel,NA,2015
Haslet,NA,2015
Heath,NA,2015
Helotes,NA,2015
Hickory Creek,NA,2015
Highland Park,NA,2015
Hilshire Village,NA,2015
Hondo,NA,2015
Hudson Oaks,NA,2015
Hunters Creek Village,NA,2015
Italy,NA,2015
Jacksboro,NA,2015
Jamaica Beach,NA,2012
Josephine,NA,2015
Joshua,NA,2015
Jourdanton,NA,2015
Justin,NA,2015
Kenedy,NA,2012
Kennedale,NA,2012
Krum,NA,2012
La Vernia,NA,2012
Lacy-Lakeview,NA,2015
Laguna Vista,NA,2012
Lake Dallas,NA,2015
Lake Worth,NA,2012
Liberty,NA,2018
Magnolia,NA,2015
Manor,NA,2015
Manvel,NA,2012
Melissa,NA,2015
Milford,NA,2012
Mont Belvieu,NA,2015
Montgomery,NA,2015
Nassau Bay,NA,2012
Needville,NA,2012
Newark,NA,2015
Olmos Park,NA,2012
Ovilla,NA,2012
Palm Valley,NA,2018
Panorama Village,NA,2015
Pantego,NA,2015
Pilot Point,NA,2015
Pittsburg,NA,2015
Pleasanton,NA,2015
Poth,NA,2018
Prairie View,NA,2015
Princeton,NA,2018
Prosper,NA,2015
Richland Hills,NA,2012
River Oaks,NA,2012
Roanoke,NA,2015
Rockport,NA,2012
Royse City,NA,2015
Runaway Bay,NA,2015
Sanger,NA,2015
Sealy,NA,2015
Selma,NA,2015
Shavano Park,NA,2015
Shenandoah,NA,2015
Shepherd,NA,2018
Shoreacres,NA,2015
Southside Place,NA,2015
Spring Valley Village,NA,2015
Springtown,NA,2012
St Paul,NA,2015
Stagecoach,NA,2015
Sunnyvale,NA,2018
Taylor Lake Village,NA,2018
Tiki Island village,NA,2012
Tool,NA,2015
Trinidad,NA,2012
Trophy Club,NA,2015
Troy,NA,2012
Valley View,NA,2015
Venus,NA,2015
Wake Village,NA,2015
Waller,NA,2015
Wallis,NA,2015
West Columbia,NA,2015
West Lake Hills,NA,2015
Westover Hills,NA,2015
Westworth Village,NA,2015
Windcrest,NA,2018
